date,portcalls,import,export
2025-04-26,8,88548,78909
2025-04-27,6,23763,14457
2025-04-28,5,64713,20860
2025-04-29,10,416047,20735
2025-04-30,11,44631,134678
2025-05-01,6,30104,6450
2025-05-02,10,162980,37823
2025-05-03,9,111417,15086
2025-05-04,9,75693,33554
2025-05-05,7,167712,37089
2025-05-06,13,77784,60292
2025-05-07,12,255852,38135
2025-05-08,5,77004,21947
2025-05-09,8,73681,106578
2025-05-10,6,9835,57872
2025-05-11,8,202618,58956
2025-05-12,10,34016,36970
2025-05-13,6,82074,13167
2025-05-14,8,246358,65516
2025-05-15,8,22362,40807
2025-05-16,6,49738,31749
2025-05-17,5,13114,36699
2025-05-18,9,38968,23640
2025-05-19,6,184292,25687
2025-05-20,6,14215,41337
2025-05-21,9,127433,85671
2025-05-22,9,316140,48053
2025-05-23,9,110731,29510
2025-05-24,7,69231,32064
2025-05-25,6,27398,21141
2025-05-26,7,8699,41266
2025-05-27,8,202541,23493
2025-05-28,12,50957,108062
2025-05-29,9,378405,5882
2025-05-30,10,74588,53645
2025-05-31,12,344704,135047
2025-06-01,10,50194,95834
2025-06-02,8,13114,46651
2025-06-03,7,89051,18430
2025-06-04,20,163382,117826
2025-06-05,10,229299,16967
2025-06-06,8,27450,67885
2025-06-07,12,194949,33386
2025-06-08,11,130722,38102
2025-06-09,10,89450,45905
2025-06-10,7,127959,18887
2025-06-11,17,292340,57509
2025-06-12,8,139174,44892
2025-06-13,13,189565,22636
2025-06-14,7,242043,14775
2025-06-15,7,83891,33428
2025-06-16,7,73750,55254
2025-06-17,9,229227,64931
2025-06-18,10,22481,52783
2025-06-19,12,35236,186250
2025-06-20,12,128058,51763
2025-06-21,9,180585,18726
2025-06-22,12,199600,80877
2025-06-23,12,235518,58064
2025-06-24,11,95788,43668
2025-06-25,13,136332,78663
2025-06-26,8,363372,28548
2025-06-27,7,16635,36537
2025-06-28,4,69958,16329
2025-06-29,7,19960,32528
2025-06-30,15,257767,51633
2025-07-01,9,65155,47103
2025-07-02,13,201961,88606
2025-07-03,8,257459,64978
2025-07-04,10,77238,62685
2025-07-05,10,91497,19401
2025-07-06,12,211614,70563
2025-07-07,8,158750,18624
2025-07-08,12,49824,77766
2025-07-09,13,141187,90213
2025-07-10,9,69981,44912
2025-07-11,8,67685,61373
2025-07-12,12,133516,44065
2025-07-13,9,74244,22912
2025-07-14,10,89402,49021
2025-07-15,16,164458,91768
2025-07-16,5,94017,26945
2025-07-17,9,46924,36025
2025-07-18,7,72960,19945
2025-07-19,11,151029,37491
2025-07-20,10,43396,34484
2025-07-21,8,72006,72344
2025-07-22,11,170250,28608
2025-07-23,5,6153,15854
2025-07-24,8,49550,64598
2025-07-25,5,60438,54178
2025-07-26,8,124155,52200
2025-07-27,5,117473,17908
2025-07-28,9,309953,40618
2025-07-29,9,118667,111807
2025-07-30,1,1852,2913
2025-07-31,11,151705,60041
2025-08-01,5,23364,24783
2025-08-02,10,143939,28275
2025-08-03,9,190757,35894
2025-08-04,7,878,52979
