date,portcalls,import,export
2025-04-26,2,20323,101151
2025-04-27,1,0,77805
2025-04-28,4,40544,2878
2025-04-29,2,1592,0
2025-04-30,2,20323,106483
2025-05-01,5,65064,194358
2025-05-02,3,58934,61547
2025-05-03,2,2797,63599
2025-05-04,2,6245,82723
2025-05-05,5,23137,99017
2025-05-06,3,40980,31549
2025-05-07,3,40646,91625
2025-05-08,4,130771,4739
2025-05-09,4,40391,135419
2025-05-10,2,20323,88783
2025-05-11,5,49033,137310
2025-05-12,4,51595,144725
2025-05-13,3,26568,105930
2025-05-14,4,58934,93236
2025-05-15,2,83931,68997
2025-05-16,5,150522,119912
2025-05-17,5,114111,32914
2025-05-18,1,79101,0
2025-05-19,5,46655,122228
2025-05-20,1,0,76773
2025-05-21,5,111586,194001
2025-05-22,4,111010,84991
2025-05-23,5,46254,108776
2025-05-24,2,20323,102982
2025-05-25,3,38611,100961
2025-05-26,6,90939,80321
2025-05-27,4,54998,60537
2025-05-28,2,20323,61968
2025-05-29,3,31573,30268
2025-05-30,3,20323,107042
2025-05-31,1,31138,0
2025-06-01,4,31301,31227
2025-06-02,3,78457,149270
2025-06-03,1,0,0
2025-06-04,4,26165,23959
2025-06-05,2,20323,106167
2025-06-06,5,87329,106631
2025-06-07,5,134487,90806
2025-06-08,5,20323,211063
2025-06-09,3,24361,43507
2025-06-10,2,36633,0
2025-06-11,7,70248,72129
2025-06-12,4,83433,66264
2025-06-13,5,141116,160488
2025-06-14,5,129995,74263
2025-06-15,6,39463,81334
2025-06-16,2,147301,0
2025-06-17,2,80224,52295
2025-06-18,5,74815,145077
2025-06-19,1,0,22199
2025-06-20,2,20323,30616
2025-06-21,1,0,76773
2025-06-22,4,124911,74263
2025-06-23,3,99183,103440
2025-06-24,4,150445,99950
2025-06-25,6,134948,60537
2025-06-26,6,244433,60537
2025-06-27,4,131355,77926
2025-06-28,1,4025,16689
2025-06-29,2,80545,13725
2025-06-30,4,135212,76773
2025-07-01,5,39998,106643
2025-07-02,5,117081,134991
2025-07-03,5,58934,134497
2025-07-04,3,114880,85115
2025-07-05,3,71640,60537
2025-07-06,2,20068,66239
2025-07-07,6,104244,82530
2025-07-08,1,20323,30268
2025-07-09,6,86517,201318
2025-07-10,1,20323,30268
2025-07-11,3,26378,76975
2025-07-12,6,132631,213452
2025-07-13,2,100700,30268
2025-07-14,3,21877,62637
2025-07-15,4,102019,106318
2025-07-16,3,102365,30268
2025-07-17,1,79669,0
2025-07-18,1,79274,0
2025-07-19,2,20323,41366
2025-07-20,4,179510,30268
2025-07-21,3,21692,30488
2025-07-22,3,20323,91312
2025-07-23,4,30090,68161
2025-07-24,3,60492,30268
2025-07-25,3,40646,133593
2025-07-26,1,79247,0
2025-07-27,6,129047,194246
2025-07-28,3,106032,30268
2025-07-29,3,0,180537
2025-07-30,2,26568,43994
2025-07-31,0,0,0
2025-08-01,3,40646,60655
2025-08-02,2,13595,13725
2025-08-03,3,32162,23361
2025-08-04,1,20323,30268
2025-08-05,2,40646,60537
2025-08-06,1,20323,30268
2025-08-07,2,37683,1010
2025-08-08,3,42073,60537
2025-08-09,2,23120,33146
2025-08-10,0,0,0
2025-08-11,2,40646,60537
2025-08-12,3,46891,74263
2025-08-13,0,0,0
2025-08-14,2,1924,0
2025-08-15,1,0,9992
2025-08-16,3,40646,60537
2025-08-17,2,92862,13725
2025-08-18,4,40646,213297
2025-08-19,2,18288,71377
2025-08-20,2,20323,109024
2025-08-21,2,4183,52778
2025-08-22,1,0,75669
2025-08-23,5,132697,70006
2025-08-24,2,20323,36952
2025-08-25,4,0,133916
2025-08-26,2,45689,1010
2025-08-27,5,168255,77686
2025-08-28,2,28266,30268
2025-08-29,3,0,126759
2025-08-30,2,8176,37514
2025-08-31,2,85563,79588
2025-09-01,3,26568,114140
2025-09-02,1,58785,0
2025-09-03,2,70644,30268
2025-09-04,4,201235,25551
2025-09-05,4,48969,95891
2025-09-06,1,0,37343
2025-09-07,2,32582,1010
2025-09-08,5,174519,91623
2025-09-09,2,33177,73171
2025-09-10,4,64483,90806
2025-09-11,4,143666,105445
2025-09-12,5,63766,93957
2025-09-13,0,0,0
2025-09-14,4,40646,169460
2025-09-15,1,18288,1010
2025-09-16,3,121462,0
2025-09-17,4,20323,92374
2025-09-18,4,40646,66793
2025-09-19,5,82220,99631
2025-09-20,2,20323,103440
2025-09-21,2,40646,60537
2025-09-22,2,21085,3888
2025-09-23,4,40391,60138
2025-09-24,5,69707,130904
2025-09-25,3,27866,60910
2025-09-26,2,20323,75516
2025-09-27,2,70074,30268
2025-09-28,2,23120,33146
2025-09-29,6,40646,172799
2025-09-30,4,168558,60537
2025-10-01,5,49992,123948
2025-10-02,0,0,0
2025-10-03,0,0,0
2025-10-04,7,83590,181065
2025-10-05,5,29748,269285
2025-10-06,0,0,0
2025-10-07,5,48288,154144
2025-10-08,2,20323,85914
2025-10-09,5,135029,2878
2025-10-10,1,20323,30268
2025-10-11,3,60969,90806
2025-10-12,4,142611,0
2025-10-13,3,83837,30268
2025-10-14,2,97579,30268
2025-10-15,4,684,58025
2025-10-16,4,33845,69003
2025-10-17,0,0,0
2025-10-18,1,0,42797
2025-10-19,2,20323,62218
2025-10-20,3,197737,58875
2025-10-21,0,0,0
2025-10-22,3,40646,92905
2025-10-23,5,105762,74155
2025-10-24,1,0,16610
2025-10-25,6,89272,4871
2025-10-26,3,40391,83975
2025-10-27,1,20323,30268
2025-10-28,0,0,0
2025-10-29,3,104211,102005
2025-10-30,1,9425,9468
2025-10-31,3,40391,98677
2025-11-01,3,40646,60537
2025-11-02,2,36576,2021
2025-11-03,2,40646,60537
2025-11-04,1,2797,2878
2025-11-05,2,12462,7473
2025-11-06,6,52869,146056
2025-11-07,3,95898,60528
2025-11-08,3,23317,43121
2025-11-09,1,6245,13725
2025-11-10,6,239411,101646
2025-11-11,1,18746,0
2025-11-12,4,44927,118678
2025-11-13,1,20323,30268
2025-11-14,4,90060,15197
