date,portcalls,import,export
2025-04-26,5,108848,4441
2025-04-27,4,12860,13318
2025-04-28,4,35944,3455
2025-04-29,3,39214,4742
2025-04-30,3,4308,694
2025-05-01,3,78836,2321
2025-05-02,2,72051,0
2025-05-03,3,2230,3822
2025-05-04,3,18834,0
2025-05-05,4,115967,2549
2025-05-06,5,137877,909
2025-05-07,4,20929,3782
2025-05-08,3,75261,1389
2025-05-09,4,32172,3502
2025-05-10,4,6249,694
2025-05-11,2,80587,0
2025-05-12,1,4418,0
2025-05-13,7,91976,864
2025-05-14,1,203,0
2025-05-15,3,57681,0
2025-05-16,5,60146,14120
2025-05-17,7,65435,5702
2025-05-18,3,77209,12212
2025-05-19,2,8179,329
2025-05-20,6,98440,10877
2025-05-21,3,35307,3683
2025-05-22,2,27709,694
2025-05-23,8,118766,2587
2025-05-24,6,116548,4334
2025-05-25,2,42878,15235
2025-05-26,2,3484,1841
2025-05-27,5,164153,2917
2025-05-28,6,7281,9541
2025-05-29,5,46272,37925
2025-05-30,2,150689,0
2025-05-31,3,6975,1892
2025-06-01,1,9254,0
2025-06-02,5,167577,5846
2025-06-03,6,110375,9108
2025-06-04,4,77122,5539
2025-06-05,4,4746,4334
2025-06-06,6,98152,5296
2025-06-07,7,85188,7715
2025-06-08,4,180638,2549
2025-06-09,4,44473,5918
2025-06-10,2,4180,1197
2025-06-11,3,0,1211
2025-06-12,3,36580,4173
2025-06-13,3,80195,734
2025-06-14,3,15152,0
2025-06-15,4,4746,2226
2025-06-16,4,90687,35723
2025-06-17,4,304873,7462
2025-06-18,6,78400,3244
2025-06-19,3,74316,694
2025-06-20,2,9675,0
2025-06-21,2,368,1151
2025-06-22,5,77791,3555
2025-06-23,2,1218,0
2025-06-24,6,24925,47932
2025-06-25,9,215540,37313
2025-06-26,5,82774,1666
2025-06-27,4,3633,27300
2025-06-28,4,59374,13046
2025-06-29,1,11416,0
2025-06-30,6,55251,7470
2025-07-01,7,74859,5274
2025-07-02,1,0,332
2025-07-03,6,128220,1389
2025-07-04,8,51708,22390
2025-07-05,3,4318,0
2025-07-06,1,3484,1197
2025-07-07,3,154224,0
2025-07-08,3,62946,0
2025-07-09,2,77860,0
2025-07-10,4,7371,1197
2025-07-11,3,9369,3245
2025-07-12,7,139196,694
2025-07-13,4,95275,1356
2025-07-14,5,6745,42481
2025-07-15,1,810,0
2025-07-16,2,154087,0
2025-07-17,4,2524,20038
2025-07-18,4,1441,55579
2025-07-19,4,92109,0
2025-07-20,6,171011,10254
2025-07-21,6,52759,23202
2025-07-22,3,73862,1645
2025-07-23,4,129713,3527
2025-07-24,3,43030,6224
2025-07-25,3,76008,1984
2025-07-26,3,44018,2549
2025-07-27,5,90764,694
2025-07-28,3,2201,3432
2025-07-29,3,114495,2916
2025-07-30,6,77633,66470
2025-07-31,3,3484,23899
2025-08-01,3,24158,3139
2025-08-02,2,54329,2549
2025-08-03,2,4746,1892
2025-08-04,2,6480,4579
2025-08-05,6,42224,9790
2025-08-06,2,74026,0
2025-08-07,4,3780,0
2025-08-08,3,74459,1892
2025-08-09,4,86058,1320
2025-08-10,5,86139,2027
2025-08-11,1,3484,1197
2025-08-12,3,24979,2474
2025-08-13,5,5434,12427
2025-08-14,2,36959,3527
2025-08-15,2,42878,3283
2025-08-16,3,14124,14029
2025-08-17,2,32456,989
2025-08-18,5,71601,2909
2025-08-19,5,66080,3475
2025-08-20,1,3484,1197
2025-08-21,8,212833,42210
2025-08-22,5,79130,1023
2025-08-23,3,49742,1197
2025-08-24,1,984,0
2025-08-25,6,86933,71016
2025-08-26,1,42878,2549
2025-08-27,6,13853,3583
2025-08-28,2,6968,2395
2025-08-29,4,3484,34486
2025-08-30,4,119112,18488
2025-08-31,1,0,29193
2025-09-01,4,102966,3746
2025-09-02,4,127611,1664
2025-09-03,1,1262,694
2025-09-04,4,12507,1815
2025-09-05,4,25680,0
2025-09-06,4,55804,4493
2025-09-07,2,3498,0
2025-09-08,4,112585,3527
2025-09-09,5,22811,2891
2025-09-10,4,19912,2670
2025-09-11,2,75658,11025
2025-09-12,2,1838,0
2025-09-13,5,164150,2549
2025-09-14,3,62100,0
2025-09-15,5,15005,2062
2025-09-16,2,2628,694
2025-09-17,4,163733,694
2025-09-18,4,52639,3547
2025-09-19,5,6808,2466
2025-09-20,5,202877,3746
2025-09-21,2,13850,1197
2025-09-22,5,116958,2299
2025-09-23,3,135001,0
2025-09-24,3,84871,1581
2025-09-25,6,6093,50994
2025-09-26,1,735,0
2025-09-27,6,157875,9707
2025-09-28,4,83561,4545
2025-09-29,6,99058,2106
2025-09-30,5,123074,3090
2025-10-01,3,1769,479
2025-10-02,7,93014,7689
2025-10-03,4,44507,4197
2025-10-04,4,6850,6809
2025-10-05,4,101037,0
2025-10-06,5,91084,368
2025-10-07,4,72945,4999
2025-10-08,5,36963,2129
2025-10-09,2,43196,0
2025-10-10,5,19220,44992
2025-10-11,3,41838,0
2025-10-12,4,132995,2549
2025-10-13,1,4563,0
2025-10-14,3,44047,2199
2025-10-15,5,88310,3867
2025-10-16,4,2503,2286
2025-10-17,6,133272,10196
2025-10-18,3,72635,7293
2025-10-19,3,18551,1831
2025-10-20,2,0,3538
2025-10-21,7,162799,2891
2025-10-22,4,124368,2549
2025-10-23,3,1262,7260
2025-10-24,6,122762,4602
2025-10-25,8,117630,2401
2025-10-26,3,78785,694
2025-10-27,7,80296,14383
2025-10-28,2,18305,0
2025-10-29,5,130741,3909
2025-10-30,6,89158,2084
2025-10-31,3,2572,9388
2025-11-01,9,155529,27573
2025-11-02,2,71523,0
2025-11-03,3,19852,2913
