date,portcalls,import,export
2025-04-26,1,30544,385
2025-04-27,3,61476,36622
2025-04-28,3,40053,19868
2025-04-29,3,162360,385
2025-04-30,3,76896,0
2025-05-01,3,163077,0
2025-05-02,4,145317,7056
2025-05-03,6,88876,137779
2025-05-04,1,31909,0
2025-05-05,4,34294,120235
2025-05-06,3,129672,60580
2025-05-07,3,34294,50877
2025-05-08,3,1646,108480
2025-05-09,4,82482,15736
2025-05-10,2,44005,80438
2025-05-11,6,166208,87834
2025-05-12,5,181156,109055
2025-05-13,7,186319,53139
2025-05-14,6,138014,142519
2025-05-15,4,102883,82587
2025-05-16,3,112853,119214
2025-05-17,6,176294,103756
2025-05-18,4,68665,107937
2025-05-19,4,86876,15736
2025-05-20,4,41986,9886
2025-05-21,7,108618,74696
2025-05-22,10,399195,37601
2025-05-23,2,81843,3227
2025-05-24,6,102883,111462
2025-05-25,6,141242,17278
2025-05-26,6,178691,21503
2025-05-27,4,94353,94496
2025-05-28,3,34462,61945
2025-05-29,3,119704,31473
2025-05-30,3,48507,8426
2025-05-31,7,219735,35386
2025-06-01,6,98021,114293
2025-06-02,4,84280,16122
2025-06-03,4,113614,99526
2025-06-04,5,70226,20373
2025-06-05,2,200897,15736
2025-06-06,2,22532,3227
2025-06-07,4,109419,20872
2025-06-08,2,0,39083
2025-06-09,9,195613,34617
2025-06-10,3,132803,2489
2025-06-11,3,33523,3227
2025-06-12,10,161521,122863
2025-06-13,7,147742,83267
2025-06-14,2,28707,8441
2025-06-15,5,138823,67079
2025-06-16,5,155051,100125
2025-06-17,7,83343,32343
2025-06-18,5,113731,96753
2025-06-19,8,264576,39737
2025-06-20,4,160853,9418
2025-06-21,3,68588,31473
2025-06-22,6,111233,48331
2025-06-23,1,0,31628
2025-06-24,6,147851,16122
2025-06-25,3,123715,15736
2025-06-26,5,115401,65417
2025-06-27,4,68588,61608
2025-06-28,3,89568,31473
2025-06-29,2,64839,16122
2025-06-30,5,7003,39111
2025-07-01,3,107760,19705
2025-07-02,4,42775,15736
2025-07-03,6,272662,42537
2025-07-04,7,167878,31473
2025-07-05,2,60741,15736
2025-07-06,6,75445,33634
2025-07-07,5,143439,31473
2025-07-08,3,43919,51750
2025-07-09,6,375576,4251
2025-07-10,9,109483,32636
2025-07-11,4,23124,4575
2025-07-12,3,34294,57892
2025-07-13,5,131324,36377
2025-07-14,4,82832,66765
2025-07-15,2,34294,15736
2025-07-16,6,67585,46600
2025-07-17,4,90607,12971
2025-07-18,1,34294,15736
2025-07-19,2,76,6981
2025-07-20,5,143093,81353
2025-07-21,5,1646,59793
2025-07-22,4,163482,385
2025-07-23,3,11475,10268
2025-07-24,1,34294,15736
2025-07-25,4,264536,16264
2025-07-26,5,102883,57809
2025-07-27,3,68588,37719
2025-07-28,2,0,79588
2025-07-29,4,87508,67883
2025-07-30,6,165126,65286
2025-07-31,5,109398,31473
2025-08-01,9,200456,105420
2025-08-02,3,49217,49739
2025-08-03,2,34294,17271
2025-08-04,4,81661,3227
