Date,Global_LSCI,LSCI_lag7,LSCI_lag14,LSCI_lag28,LSCI_rolling14,IIP_Value,IIP_lag7,IIP_lag14,IIP_lag28,IIP_rolling14
2020-02-29,-1.3154240253357752,-1.30959816084492,-1.3036859424981282,-1.292266687044601,-1.3113936910839683,-0.2739113834024797,-0.2713112842175781,-0.2688534852576759,-0.2639313732942566,-0.2767983600198856
2020-03-01,-1.3154240253357752,-1.30959816084492,-1.3036859424981282,-1.292266687044601,-1.3113936910839683,-1.2769584641846532,-0.2713112842175781,-0.2688534852576759,-0.2639313732942566,-0.3499142754136725
2020-03-02,-1.3154240253357752,-1.30959816084492,-1.3036859424981282,-1.292266687044601,-1.3113936910839683,-1.2769584641846532,-0.2713112842175781,-0.2688534852576759,-0.2639313732942566,-0.4230301908074611
2020-03-03,-1.3154240253357752,-1.30959816084492,-1.3036859424981282,-1.292266687044601,-1.3113936910839683,-1.2769584641846532,-0.2713112842175781,-0.2688534852576759,-0.2639313732942566,-0.4961461062012497
2020-03-04,-1.3154240253357752,-1.30959816084492,-1.3036859424981282,-1.292266687044601,-1.3113936910839683,-1.2769584641846532,-0.2713112842175781,-0.2688534852576759,-0.2639313732942566,-0.5692620215950384
2020-03-05,-1.3154240253357752,-1.30959816084492,-1.3036859424981282,-1.292266687044601,-1.3113936910839683,-1.2769584641846532,-0.2713112842175781,-0.2688534852576759,-0.2639313732942566,-0.6423779369888253
2020-03-06,-1.3154240253357752,-1.30959816084492,-1.3036859424981282,-1.292266687044601,-1.3113936910839683,-1.2769584641846532,-0.2713112842175781,-0.2688534852576759,-0.2639313732942566,-0.7154938523826139
2020-03-07,-1.3154240253357752,-1.30959816084492,-1.3036859424981282,-1.292266687044601,-1.3113936910839683,-1.2769584641846532,-0.2713112842175781,-0.2688534852576759,-0.2639313732942566,-0.7886097677764017
2020-03-08,-1.3154240253357752,-1.30959816084492,-1.3036859424981282,-1.292266687044601,-1.3113936910839683,-1.2769584641846532,-1.2754047391509222,-0.2688534852576759,-0.2639313732942566,-0.8617256831701903
2020-03-09,-1.3154240253357752,-1.30959816084492,-1.3036859424981282,-1.292266687044601,-1.3113936910839683,-1.2769584641846532,-1.2754047391509222,-0.2688534852576759,-0.2639313732942566,-0.934841598563978
