portName,month,year,category,dwellTime
SOUTHERN REGION AVG.,APRIL,2020,Export,100.0
SOUTHERN REGION AVG.,APRIL,2020,Import,74.0
TUTICORIN,APRIL,2020,Export,47.0
TUTICORIN,APRIL,2020,Import,42.0
VIZAG,APRIL,2020,Export,74.0
VIZAG,APRIL,2020,Import,108.0
WESTERN REGION AVG.,APRIL,2020,Export,96.0
WESTERN REGION AVG.,APRIL,2020,Import,53.0
APSEZ,MAY,2020,Export,104.0
APSEZ,MAY,2020,Import,31.0
CHENNAI,MAY,2020,Export,72.0
CHENNAI,MAY,2020,Import,77.0
COCHIN,MAY,2020,Export,83.0
COCHIN,MAY,2020,Import,134.0
EASTERN REGION AVG.,MAY,2020,Export,108.0
EASTERN REGION AVG.,MAY,2020,Import,130.0
HALDIA,MAY,2020,Export,105.0
HALDIA,MAY,2020,Import,177.0
HAZIRA,MAY,2020,Export,109.0
HAZIRA,MAY,2020,Import,100.0
JNPT,MAY,2020,Export,60.0
JNPT,MAY,2020,Import,65.0
KANDLA,MAY,2020,Import,75.0
KATTUPALLI,MAY,2020,Export,84.0
KATTUPALLI,MAY,2020,Import,193.0
KOLKATA,MAY,2020,Export,110.0
KOLKATA,MAY,2020,Import,144.0
KRISHNAPATNAM,MAY,2020,Export,66.0
KRISHNAPATNAM,MAY,2020,Import,260.0
NMPT,MAY,2020,Import,166.0
SOUTHERN REGION AVG.,MAY,2020,Export,72.0
SOUTHERN REGION AVG.,MAY,2020,Import,85.0
TUTICORIN,MAY,2020,Export,64.0
TUTICORIN,MAY,2020,Import,30.0
VIZAG,MAY,2020,Export,104.0
VIZAG,MAY,2020,Import,68.0
WESTERN REGION AVG.,MAY,2020,Export,83.0
WESTERN REGION AVG.,MAY,2020,Import,50.0
APSEZ,JUNE,2020,Export,115.43
APSEZ,JUNE,2020,Import,25.2
CHENNAI,JUNE,2020,Export,96.0
CHENNAI,JUNE,2020,Import,46.0
COCHIN,JUNE,2020,Export,91.0
COCHIN,JUNE,2020,Import,36.0
EASTERN REGION AVG.,JUNE,2020,Export,113.0
EASTERN REGION AVG.,JUNE,2020,Import,76.6
HALDIA,JUNE,2020,Export,97.3
HALDIA,JUNE,2020,Import,202.6
HAZIRA,JUNE,2020,Export,118.0
HAZIRA,JUNE,2020,Import,95.0
JNPT,JUNE,2020,Export,69.0
JNPT,JUNE,2020,Import,38.0
KANDLA,JUNE,2020,Import,65.2
KATTUPALLI,JUNE,2020,Export,108.0
KATTUPALLI,JUNE,2020,Import,70.0
KOLKATA,JUNE,2020,Export,126.4
KOLKATA,JUNE,2020,Import,74.9
KRISHNAPATNAM,JUNE,2020,Export,62.6
KRISHNAPATNAM,JUNE,2020,Import,89.2
NMPT,JUNE,2020,Import,105.0
SOUTHERN REGION AVG.,JUNE,2020,Export,87.2
SOUTHERN REGION AVG.,JUNE,2020,Import,46.8
TUTICORIN,JUNE,2020,Export,65.0
TUTICORIN,JUNE,2020,Import,20.0
VIZAG,JUNE,2020,Export,104.9
VIZAG,JUNE,2020,Import,61.2
WESTERN REGION AVG.,JUNE,2020,Export,93.0
WESTERN REGION AVG.,JUNE,2020,Import,37.0
APSEZ,JULY,2020,Export,122.1
APSEZ,JULY,2020,Import,37.3
CHENNAI,JULY,2020,Export,94.8
CHENNAI,JULY,2020,Import,48.7
COCHIN,JULY,2020,Export,88.4
COCHIN,JULY,2020,Import,38.1
EASTERN REGION AVG.,JULY,2020,Export,112.4
EASTERN REGION AVG.,JULY,2020,Import,46.7
HALDIA,JULY,2020,Export,148.7
HALDIA,JULY,2020,Import,116.9
HAZIRA,JULY,2020,Export,123.0
HAZIRA,JULY,2020,Import,46.0
JNPT,JULY,2020,Export,75.0
JNPT,JULY,2020,Import,22.0
KANDLA,JULY,2020,Import,41.4
KATTUPALLI,JULY,2020,Export,101.7
KATTUPALLI,JULY,2020,Import,66.5
KOLKATA,JULY,2020,Export,146.6
KOLKATA,JULY,2020,Import,31.4
KRISHNAPATNAM,JULY,2020,Export,75.6
KRISHNAPATNAM,JULY,2020,Import,74.9
NMPT,JULY,2020,Import,164.0
SOUTHERN REGION AVG.,JULY,2020,Export,87.3
SOUTHERN REGION AVG.,JULY,2020,Import,44.5
TUTICORIN,JULY,2020,Export,74.7
TUTICORIN,JULY,2020,Import,22.1
VIZAG,JULY,2020,Export,81.5
VIZAG,JULY,2020,Import,53.2
WESTERN REGION AVG.,JULY,2020,Export,99.0
WESTERN REGION AVG.,JULY,2020,Import,31.0
APSEZ,AUGUST,2020,Export,128.0
APSEZ,AUGUST,2020,Import,36.0
CHENNAI,AUGUST,2020,Export,101.0
CHENNAI,AUGUST,2020,Import,44.0
COCHIN,AUGUST,2020,Export,132.0
COCHIN,AUGUST,2020,Import,47.0
EASTERN REGION AVG.,AUGUST,2020,Export,128.0
EASTERN REGION AVG.,AUGUST,2020,Import,39.0
HALDIA,AUGUST,2020,Export,125.0
HALDIA,AUGUST,2020,Import,96.0
HAZIRA,AUGUST,2020,Export,128.0
HAZIRA,AUGUST,2020,Import,43.0
JNPT,AUGUST,2020,Export,75.0
JNPT,AUGUST,2020,Import,26.0
KANDLA,AUGUST,2020,Import,31.0
KATTUPALLI,AUGUST,2020,Export,109.0
KATTUPALLI,AUGUST,2020,Import,53.0
KOLKATA,AUGUST,2020,Export,138.0
KOLKATA,AUGUST,2020,Import,34.0
KRISHNAPATNAM,AUGUST,2020,Export,84.0
KRISHNAPATNAM,AUGUST,2020,Import,86.0
NMPT,AUGUST,2020,Import,119.0
SOUTHERN REGION AVG.,AUGUST,2020,Export,102.0
SOUTHERN REGION AVG.,AUGUST,2020,Import,41.0
TUTICORIN,AUGUST,2020,Export,87.0
TUTICORIN,AUGUST,2020,Import,20.0
VIZAG,AUGUST,2020,Export,118.0
VIZAG,AUGUST,2020,Import,39.0
WESTERN REGION AVG.,AUGUST,2020,Export,103.0
WESTERN REGION AVG.,AUGUST,2020,Import,30.0
APSEZ,SEPTEMBER,2020,Export,113.0
