date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId,canon
2026-06-19,2026,6,19,port2344,Tuna,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4693928,port2344
2026-06-19,2026,6,19,port2378,Dhabol LNG Terminal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4782386,port2378
2026-06-19,2026,6,19,fso82,India - Offshore Oil Terminal 1,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5141531,fso82
2026-06-19,2026,6,19,fso83,India - Offshore Oil Terminal 2,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5142322,fso83
2026-06-19,2026,6,19,fso84,India - Offshore Oil Terminal 3,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5145150,fso84
2026-06-19,2026,6,19,fso85,India - Offshore Oil Terminal 4,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148967,fso85
2026-06-19,2026,6,19,port2430,Alang,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5415451,port2430
2026-06-19,2026,6,19,port2481,Chhara LNG Terminal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5556428,port2481
2026-06-18,2026,6,18,port207,Kolkata (Syama Prasad Mookerje Port),India,IND,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,250,0,0,250,250,3110309,KOLKATA
2026-06-18,2026,6,18,port235,Chennai (Madras),India,IND,2,0,0,1,2,3,5,12441,0,0,0,101880,12441,114321,0,0,0,0,0,0,0,3114235,CHENNAI
2026-06-18,2026,6,18,port271,Dahej,India,IND,0,0,1,0,1,1,2,0,0,0,0,42327,0,42327,0,0,0,0,723,0,723,3116160,port271
2026-06-18,2026,6,18,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,54265,0,0,0,54265,54265,3118741,port290
2026-06-18,2026,6,18,port442,Haldia,India,IND,0,0,1,0,3,1,4,0,0,0,0,11527,0,11527,0,0,0,0,0,0,0,3122449,HALDIA
2026-06-18,2026,6,18,port511,Jaigad Port,India,IND,0,0,7,0,0,7,7,0,0,257,0,0,257,257,0,0,11016,0,0,11016,11016,3124793,port511
2026-06-18,2026,6,18,port529,Kakinada,India,IND,0,1,1,0,0,2,2,0,21754,0,0,0,21754,21754,0,13297,5695,0,0,18992,18992,3127566,port529
2026-06-18,2026,6,18,port534,Kamarajar Port,India,IND,1,1,0,0,0,2,2,4239,58836,0,0,0,63075,63075,3611,0,0,0,0,3611,3611,3131387,KAMARAJAR
2026-06-18,2026,6,18,port540,Deendayal (Kandla),India,IND,2,2,0,0,3,4,7,35304,39046,0,0,13335,74351,87686,1101,25577,0,0,14197,26679,40877,3133444,DEENDAYAL
2026-06-18,2026,6,18,port544,Karaikal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137649,port544
2026-06-18,2026,6,18,port583,Cochin (Kochi),India,IND,3,0,0,0,1,3,4,17396,0,0,0,8414,17396,25810,4843,0,0,0,9115,4843,13958,3139927,COCHIN
2026-06-18,2026,6,18,port599,Krishnapatnam Port,India,IND,0,0,0,0,1,0,1,0,0,0,0,9260,0,9260,0,0,0,0,5,0,5,3141816,KRISHNAPATNAM
2026-06-18,2026,6,18,port679,Magdalla,India,IND,0,1,2,0,1,3,4,0,0,646,0,0,646,646,0,0,197,0,0,197,197,3144248,port679
2026-06-18,2026,6,18,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3147256,MORMUGAO
2026-06-18,2026,6,18,port776,Mumbai-Jawaharlal Nehru (Nhava Sheva),India,IND,8,3,3,2,6,16,22,41917,51251,5943,1039,146750,100152,246902,110722,2767,0,495,18305,113985,132291,3149051,JNPT
2026-06-18,2026,6,18,port777,Mundra,India,IND,7,3,0,0,1,10,11,70151,228586,0,0,34873,298738,333611,42134,63272,0,0,997,105406,106404,3152716,MUNDRA
2026-06-18,2026,6,18,port801,Navlakhi,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155798,port801
2026-06-18,2026,6,18,port811,New Mangalore,India,IND,0,2,1,0,4,3,7,0,35090,1380,0,121070,36470,157541,0,63255,516,0,686,63771,64458,3156750,NEW_MANGALORE
2026-06-18,2026,6,18,port883,Paradip,India,IND,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,139467,0,0,0,139467,139467,3160200,PARADIP
2026-06-18,2026,6,18,port907,Pipavav,India,IND,0,0,1,1,0,2,2,0,0,0,17,0,17,17,0,0,0,516,0,516,516,3163183,port907
2026-06-18,2026,6,18,port1199,Sikka,India,IND,0,1,1,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,151699,0,151699,3166567,port1199
2026-06-18,2026,6,18,port1331,V. O. Chidambaranar (Tuticorin),India,IND,2,1,1,0,0,4,4,8061,14130,1225,0,0,23417,23417,1214,0,700,0,0,1914,1914,3168377,TUTICORIN
2026-06-18,2026,6,18,port1367,Visakhapatnam,India,IND,1,2,1,0,2,4,6,0,68612,2996,0,9266,71609,80875,1847,31096,3166,0,41867,36111,77978,3171806,VIZAG
2026-06-18,2026,6,18,port2038,Kattupalli,India,IND,1,1,0,0,0,2,2,5434,12920,0,0,0,18355,18355,0,1398,0,0,0,1398,1398,3859799,KATTUPALLI
2026-06-18,2026,6,18,port2039,Hazira,India,IND,2,1,2,0,0,5,5,3234,0,516,0,0,3751,3751,7084,0,948,0,0,8032,8032,3861310,HAZIRA
2026-06-18,2026,6,18,port2150,Vizhinjam,India,IND,2,0,0,0,0,2,2,6417,0,0,0,0,6417,6417,5864,0,0,0,0,5864,5864,4182469,port2150
2026-06-18,2026,6,18,port2151,Karwar,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4184355,port2151
2026-06-18,2026,6,18,port2152,Port Blair,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4188275,port2152
2026-06-18,2026,6,18,port2299,Gopalpur,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4571301,port2299
2026-06-18,2026,6,18,port2344,Tuna,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4693926,port2344
2026-06-18,2026,6,18,port2378,Dhabol LNG Terminal,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4782385,port2378
2026-06-18,2026,6,18,fso82,India - Offshore Oil Terminal 1,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5141529,fso82
2026-06-18,2026,6,18,fso83,India - Offshore Oil Terminal 2,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5142321,fso83
2026-06-18,2026,6,18,fso84,India - Offshore Oil Terminal 3,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5145149,fso84
2026-06-18,2026,6,18,fso85,India - Offshore Oil Terminal 4,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148966,fso85
2026-06-18,2026,6,18,port2430,Alang,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5415448,port2430
